number,value,datetime_start,datetime_complete,duration,params_hop_fraction,params_n_components,params_n_fft,params_n_iter,state
0,0.9802772660981666,2026-04-03 14:06:44.538441,2026-04-03 14:06:52.797405,0 days 00:00:08.258964,4,8,1024,30,COMPLETE
1,0.8629357101704382,2026-04-03 14:06:52.797912,2026-04-03 14:07:04.238882,0 days 00:00:11.440970,4,3,4096,50,COMPLETE
2,0.9496674876233108,2026-04-03 14:07:04.239261,2026-04-03 14:07:17.690061,0 days 00:00:13.450800,4,4,1024,70,COMPLETE
3,1.134333758598828,2026-04-03 14:07:17.690422,2026-04-03 14:07:39.558781,0 days 00:00:21.868359,4,3,1024,130,COMPLETE
4,1.026677298990615,2026-04-03 14:07:39.559056,2026-04-03 14:08:05.954708,0 days 00:00:26.395652,4,5,2048,150,COMPLETE
5,0.6309922825468902,2026-04-03 14:08:05.954932,2026-04-03 14:08:16.292573,0 days 00:00:10.337641,2,5,4096,70,COMPLETE
6,1.0944796898587879,2026-04-03 14:08:16.292855,2026-04-03 14:12:59.580736,0 days 00:04:43.287881,4,8,2048,130,COMPLETE
7,1.1106346892778174,2026-04-03 14:12:59.581611,2026-04-03 15:13:04.300234,0 days 01:00:04.718623,4,4,4096,170,COMPLETE
8,0.6232505858077243,2026-04-03 15:13:04.300562,2026-04-03 15:13:22.228611,0 days 00:00:17.928049,2,3,4096,160,COMPLETE
9,1.14528082661861,2026-04-03 15:13:22.228827,2026-04-03 15:13:37.314158,0 days 00:00:15.085331,4,2,1024,80,COMPLETE
10,0.7874854818191352,2026-04-03 15:13:37.314517,2026-04-03 15:13:54.776892,0 days 00:00:17.462375,2,2,512,200,COMPLETE
11,0.9685728354665194,2026-04-03 15:13:54.777489,2026-04-03 15:14:12.850305,0 days 00:00:18.072816,4,2,1024,100,COMPLETE
12,0.9148586854055347,2026-04-03 15:14:12.850583,2026-04-03 15:14:31.046324,0 days 00:00:18.195741,4,2,1024,100,COMPLETE
13,1.0230289772070642,2026-04-03 15:14:31.046789,2026-04-03 15:14:51.908976,0 days 00:00:20.862187,4,3,1024,120,COMPLETE
14,0.6685516118738926,2026-04-03 15:14:51.909295,2026-04-03 15:15:02.045655,0 days 00:00:10.136360,2,6,512,90,COMPLETE
15,1.0071889577519746,2026-04-03 15:15:02.046406,2026-04-03 15:15:24.254695,0 days 00:00:22.208289,4,4,1024,130,COMPLETE
16,1.078204340577745,2026-04-03 15:15:24.255227,2026-04-03 15:15:30.725017,0 days 00:00:06.469790,4,6,1024,20,COMPLETE
17,0.5724133960549809,2026-04-03 15:15:30.725794,2026-04-03 15:15:44.837935,0 days 00:00:14.112141,4,3,1024,70,COMPLETE
18,0.7574368759133735,2026-04-03 15:15:44.838641,2026-04-03 15:16:01.786469,0 days 00:00:16.947828,2,2,512,190,COMPLETE
19,1.1937441576817727,2026-04-03 15:16:01.787089,2026-04-03 15:16:27.010609,0 days 00:00:25.223520,4,6,2048,140,COMPLETE
20,1.0733222133954097,2026-04-03 15:16:27.011100,2026-04-03 15:16:54.150788,0 days 00:00:27.139688,4,7,2048,150,COMPLETE
21,1.0540264294969686,2026-04-03 15:16:54.151753,2026-04-03 15:17:16.406086,0 days 00:00:22.254333,4,6,2048,120,COMPLETE
22,1.1481584105699616,2026-04-03 15:17:16.406338,2026-04-03 15:17:46.306666,0 days 00:00:29.900328,4,7,2048,140,COMPLETE
23,1.1568931015456654,2026-04-03 15:17:46.307513,2026-04-03 15:18:21.944983,0 days 00:00:35.637470,4,7,2048,180,COMPLETE
24,1.063082644758242,2026-04-03 15:18:21.945245,2026-04-03 15:18:56.146332,0 days 00:00:34.201087,4,7,2048,170,COMPLETE
25,1.152311825698473,2026-04-03 15:18:56.146839,2026-04-03 15:19:31.917284,0 days 00:00:35.770445,4,7,2048,180,COMPLETE
26,0.5408502726166358,2026-04-03 15:19:31.917772,2026-04-03 15:19:51.399638,0 days 00:00:19.481866,2,7,2048,180,COMPLETE
27,0.921238906100678,2026-04-03 15:19:51.399860,2026-04-03 15:20:26.948410,0 days 00:00:35.548550,4,6,2048,200,COMPLETE
28,1.212039027515124,2026-04-03 15:20:26.949042,2026-04-03 15:21:06.612231,0 days 00:00:39.663189,4,8,2048,180,COMPLETE
29,0.9860693679303112,2026-04-03 15:21:06.613289,2026-04-03 15:21:57.452896,0 days 00:00:50.839607,4,8,2048,160,COMPLETE
30,1.1289055169709137,2026-04-03 15:21:57.454368,2026-04-03 15:22:54.999812,0 days 00:00:57.545444,4,8,2048,190,COMPLETE
31,1.0943360894591123,2026-04-03 15:22:55.001766,2026-04-03 15:23:47.158641,0 days 00:00:52.156875,4,7,2048,180,COMPLETE
32,1.143373540157487,2026-04-03 15:23:47.160045,2026-04-03 15:24:41.915055,0 days 00:00:54.755010,4,8,2048,180,COMPLETE
33,1.0864986042024032,2026-04-03 15:24:41.918406,2026-04-03 15:25:37.478044,0 days 00:00:55.559638,4,7,2048,160,COMPLETE
34,1.134946173481902,2026-04-03 15:25:37.479586,2026-04-03 15:25:58.801271,0 days 00:00:21.321685,4,6,2048,40,COMPLETE
35,1.1288441884944007,2026-04-03 15:25:58.802756,2026-04-03 15:26:46.134755,0 days 00:00:47.331999,4,8,2048,150,COMPLETE
36,1.002372201852459,2026-04-03 15:26:46.137761,2026-04-03 15:27:40.658525,0 days 00:00:54.520764,4,7,2048,170,COMPLETE
37,1.1565382093584025,2026-04-03 15:27:40.660492,2026-04-03 15:28:53.852487,0 days 00:01:13.191995,4,5,2048,190,COMPLETE
38,1.060520993445477,2026-04-03 15:28:53.854974,2026-04-03 15:29:51.369906,0 days 00:00:57.514932,4,5,4096,200,COMPLETE
39,0.8871483910965967,2026-04-03 15:29:51.371572,2026-04-03 15:30:16.058239,0 days 00:00:24.686667,2,5,2048,140,COMPLETE
40,1.0897159217511623,2026-04-03 15:30:16.059211,2026-04-03 15:31:01.963674,0 days 00:00:45.904463,4,5,512,190,COMPLETE
41,1.1423082967874676,2026-04-03 15:31:01.964583,2026-04-03 15:31:51.880325,0 days 00:00:49.915742,4,6,2048,180,COMPLETE
42,1.0357301635775664,2026-04-03 15:31:51.881302,2026-04-03 15:32:45.445942,0 days 00:00:53.564640,4,8,2048,170,COMPLETE
43,1.1656412765022923,2026-04-03 15:32:45.447503,2026-04-03 15:34:35.394870,0 days 00:01:49.947367,4,7,2048,190,COMPLETE
44,0.9356593248641418,2026-04-03 15:34:35.396751,2026-04-03 15:36:13.628072,0 days 00:01:38.231321,4,6,4096,190,COMPLETE
45,1.1099762859700812,2026-04-03 15:36:13.628660,2026-04-03 15:37:28.413060,0 days 00:01:14.784400,4,5,2048,200,COMPLETE
46,1.2334436871721615,2026-04-03 15:37:28.413666,2026-04-03 15:38:13.412789,0 days 00:00:44.999123,4,4,2048,160,COMPLETE
47,0.4727344156769284,2026-04-03 15:38:13.413020,2026-04-03 15:38:36.747134,0 days 00:00:23.334114,2,4,2048,160,COMPLETE
48,0.961567534547488,2026-04-03 15:38:36.747634,2026-04-03 15:39:05.511003,0 days 00:00:28.763369,4,8,4096,140,COMPLETE
49,0.8938874813147268,2026-04-03 15:39:05.511311,2026-04-03 15:39:39.425005,0 days 00:00:33.913694,4,4,512,160,COMPLETE
50,1.0833687830839347,2026-04-03 15:39:39.425492,2026-04-03 15:40:10.987591,0 days 00:00:31.562099,4,7,2048,120,COMPLETE
51,1.2007197402090897,2026-04-03 15:40:10.988672,2026-04-03 15:41:02.979035,0 days 00:00:51.990363,4,5,2048,190,COMPLETE
52,1.1570525755679824,2026-04-03 15:41:02.980401,2026-04-03 15:41:45.427372,0 days 00:00:42.446971,4,4,2048,170,COMPLETE
53,1.0090544176234109,2026-04-03 15:41:45.427992,2026-04-03 15:42:22.562491,0 days 00:00:37.134499,4,4,2048,150,COMPLETE
54,1.0279190018957165,2026-04-03 15:42:22.563756,2026-04-03 15:43:09.422644,0 days 00:00:46.858888,4,3,2048,170,COMPLETE
55,1.2104577291419976,2026-04-03 15:43:09.424043,2026-04-03 15:43:53.504609,0 days 00:00:44.080566,4,4,2048,170,COMPLETE
56,0.7134179441569852,2026-04-03 15:43:53.508035,2026-04-03 15:44:13.365687,0 days 00:00:19.857652,2,4,2048,150,COMPLETE
57,0.9604998728838657,2026-04-03 15:44:13.368240,2026-04-03 15:45:01.024640,0 days 00:00:47.656400,4,5,512,200,COMPLETE
58,1.158128709065621,2026-04-03 15:45:01.027908,2026-04-03 15:45:39.438317,0 days 00:00:38.410409,4,4,2048,140,COMPLETE
59,0.5772121138987314,2026-04-03 15:45:39.440041,2026-04-03 15:46:25.040422,0 days 00:00:45.600381,4,3,1024,160,COMPLETE
60,1.1419135421499387,2026-04-03 15:46:25.041808,2026-04-03 15:46:59.554118,0 days 00:00:34.512310,4,6,2048,110,COMPLETE
61,1.1910141997931263,2026-04-03 15:46:59.555401,2026-04-03 15:47:34.252518,0 days 00:00:34.697117,4,4,2048,130,COMPLETE
62,1.1144401962199142,2026-04-03 15:47:34.253895,2026-04-03 15:48:06.739494,0 days 00:00:32.485599,4,4,2048,130,COMPLETE
63,0.994075674048084,2026-04-03 15:48:06.740620,2026-04-03 15:48:39.223080,0 days 00:00:32.482460,4,4,2048,130,COMPLETE
64,1.1908739727798647,2026-04-03 15:48:39.224220,2026-04-03 15:49:08.876389,0 days 00:00:29.652169,4,3,2048,110,COMPLETE
65,1.2284667225535455,2026-04-03 15:49:08.879759,2026-04-03 15:49:37.022377,0 days 00:00:28.142618,4,3,2048,100,COMPLETE
66,0.6883524779449394,2026-04-03 15:49:37.024142,2026-04-03 15:49:54.906443,0 days 00:00:17.882301,2,3,4096,90,COMPLETE
67,1.1317472865911635,2026-04-03 15:49:54.907825,2026-04-03 15:50:26.103491,0 days 00:00:31.195666,4,3,2048,100,COMPLETE
68,1.21519857303465,2026-04-03 15:50:26.104892,2026-04-03 15:51:09.735044,0 days 00:00:43.630152,4,2,2048,120,COMPLETE
69,0.9641207639448777,2026-04-03 15:51:09.746906,2026-04-03 15:51:36.355150,0 days 00:00:26.608244,4,2,1024,80,COMPLETE
70,1.246321247675599,2026-04-03 15:51:36.360275,2026-04-03 15:52:08.060656,0 days 00:00:31.700381,4,2,2048,100,COMPLETE
71,1.1502127714823418,2026-04-03 15:52:08.062042,2026-04-03 15:52:34.274346,0 days 00:00:26.212304,4,2,2048,90,COMPLETE
72,1.2447303604429705,2026-04-03 15:52:34.275507,2026-04-03 15:53:05.402887,0 days 00:00:31.127380,4,2,2048,110,COMPLETE
73,1.1849425561610234,2026-04-03 15:53:05.404573,2026-04-03 15:53:34.237824,0 days 00:00:28.833251,4,2,2048,100,COMPLETE
74,1.2559406851204247,2026-04-03 15:53:34.239153,2026-04-03 15:54:13.259226,0 days 00:00:39.020073,4,2,2048,110,COMPLETE
75,1.1888951004882213,2026-04-03 15:54:13.261037,2026-04-03 15:54:51.304026,0 days 00:00:38.042989,4,2,2048,110,COMPLETE
76,1.1235030052597346,2026-04-03 15:54:51.305425,2026-04-03 15:55:14.937759,0 days 00:00:23.632334,4,2,2048,60,COMPLETE
77,1.0747799864438212,2026-04-03 15:55:14.939688,2026-04-03 15:55:44.519354,0 days 00:00:29.579666,4,2,2048,80,COMPLETE
78,0.8365781099410837,2026-04-03 15:55:44.520879,2026-04-03 15:56:22.149204,0 days 00:00:37.628325,4,2,512,120,COMPLETE
79,0.6071299991881338,2026-04-03 15:56:22.150820,2026-04-03 15:56:40.393314,0 days 00:00:18.242494,2,3,2048,90,COMPLETE
